,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
10278,XM_026445903.1,0.850558176,0.943492291,0.055997454,0.29721649,4.444659125,0.173082523,0.1143588,0.075091261,0.150654126,0.150654126
10279,XR_001703507.2,0.850716684,0.943576312,-0.077867884,0.413741771,6.072020407,0.468514347,0.031541542,0.482005218,0.091132058,0.482005218
10280,XM_016911622.2,0.851002417,0.943801416,-0.019749037,0.105137788,9.452222013,0.014015023,0.003238814,0.012060704,0.02992305,0.02992305
10281,XM_006557357.3,0.851263233,0.943907033,0.044432287,0.236963506,10.57988745,0.153679434,0.001536076,0.166919032,0.015499055,0.166919032
10282,XM_026442695.1,0.851187126,0.943907033,0.042635293,0.227262233,10.21941293,0.14135427,0.002154921,0.152789446,0.018924594,0.152789446
10283,XM_026440062.1,0.851597709,0.944186082,-0.012267508,0.065573503,11.14034194,0.00418837,0.000909101,0.003652958,0.011990551,0.011990551
10284,XM_624226.6,0.851825923,0.944347272,0.012444147,0.066621347,11.05121978,0.003712352,0.000922167,0.003114963,0.012393045,0.012393045
10285,XM_026446319.1,0.851979748,0.94442597,0.016057245,0.086054913,10.09331191,0.008763514,0.001671614,0.007890902,0.020544731,0.020544731
10286,XM_006571679.3,0.852235761,0.944431463,0.032054064,0.172087092,10.8157375,0.081045583,0.00114822,0.087693682,0.013781038,0.087693682
10287,XM_026443238.1,0.852397448,0.944431463,0.012615855,0.067805184,13.38587017,0.012582161,0.000205184,0.013587445,0.012228878,0.013587445
10288,XM_395192.7,0.852464917,0.944431463,0.014354705,0.077186498,13.12125356,0.016304621,0.000224569,0.017648698,0.011602299,0.017648698
10289,XM_396375.7,0.852481728,0.944431463,0.013072232,0.070298635,14.14623554,0.007188744,0.000113261,0.007743092,0.014712433,0.014712433
10290,XM_026440113.1,0.852439777,0.944431463,0.017932974,0.096410542,9.756058854,0.015915188,0.00237536,0.015034869,0.025509617,0.025509617
10291,XM_003251785.4,0.852225469,0.944431463,-0.015416101,0.082757841,10.21545742,0.006115169,0.00157413,0.005081259,0.018972451,0.018972451
10292,XR_003305597.1,0.852610834,0.94444323,0.050247746,0.270457098,6.667000925,0.200180523,0.02432164,0.195119485,0.078587108,0.195119485
10293,XM_026445649.1,0.852658027,0.94444323,0.015522045,0.083574048,12.72909084,0.019114677,0.000334249,0.020619616,0.010858072,0.020619616
10294,XM_026439758.1,0.853112389,0.944854706,-0.015861651,0.085669783,10.14089835,0.007515722,0.002106512,0.006085305,0.019911423,0.019911423
10295,XR_001705033.2,0.853307983,0.94488658,0.027396201,0.148168184,7.923278066,0.01868111,0.008148152,0.012175904,0.05771328,0.05771328
10296,XR_003305805.1,0.8533898,0.94488658,-0.040412517,0.218688324,5.77285154,0.036507986,0.044130004,-0.00446117,0.099343746,0.099343746
10297,XR_003305885.1,0.853388264,0.94488658,-0.073357552,0.396962902,5.134343325,0.431230033,0.074021746,0.398716891,0.120723405,0.398716891
10298,XM_392905.7,0.853479897,0.944894572,0.019622274,0.106250031,14.1058658,0.030893379,0.000123966,0.033743241,0.014551081,0.033743241
10299,XR_001704556.2,0.853584759,0.944918909,0.033458555,0.181301499,6.698607693,0.025120511,0.020593685,0.006703034,0.078017016,0.078017016
10300,XM_625121.6,0.853700804,0.944955618,-0.013103637,0.071061494,10.79228159,0.005391993,0.001208622,0.004671059,0.013940586,0.013940586
10301,XM_395329.4,0.853823782,0.944974191,-0.01391473,0.075524289,10.80446319,0.015608946,0.001202403,0.015909352,0.013857325,0.015909352
10302,XM_391963.6,0.853883354,0.944974191,0.011615172,0.063069091,11.39566867,0.002076938,0.000769394,0.001474764,0.011163737,0.011163737
10303,XM_026443994.1,0.854068962,0.945087862,-0.017473851,0.095003114,9.806375885,0.010774077,0.002332489,0.009427395,0.024744286,0.024744286
10304,XR_407849.3,0.854245093,0.945141394,-0.04306653,0.23443342,5.384460382,0.131039595,0.053171584,0.090415553,0.111705501,0.111705501
10305,XM_006559650.3,0.854283138,0.945141394,-0.011027143,0.0600423,12.01596457,0.002489206,0.000526744,0.002174903,0.010288489,0.010288489
10306,XM_026442874.1,0.854437756,0.945217807,0.011365893,0.061953257,12.95659344,0.004201155,0.000250128,0.004332388,0.011264491,0.011264491
10307,XR_001705234.2,0.854518019,0.945217807,-0.063512989,0.346390028,3.739376279,0.226515821,0.169258215,0.078699018,0.190699939,0.190699939
10308,XM_006565305.3,0.85510555,0.945775939,-0.091751608,0.502450995,2.723893074,0.690815014,0.381689629,0.37568138,0.270900096,0.37568138
10309,XM_006568747.3,0.855383688,0.945991796,0.011611055,0.063708221,11.32991407,0.004995535,0.000831549,0.004623094,0.011344663,0.011344663
10310,XR_003305067.1,0.855529684,0.946061486,-0.049554635,0.272177138,4.668966446,0.141092182,0.082211215,0.072253487,0.140029969,0.140029969
10311,XM_026439037.1,0.855705828,0.946164498,0.011879257,0.065326946,11.15864181,0.00395692,0.000885283,0.003424994,0.011917547,0.011917547
10312,XM_026445640.1,0.855966507,0.946269189,-0.014225704,0.078373789,10.80686519,0.01680733,0.00115706,0.017270292,0.013841009,0.017270292
10313,XM_003250482.4,0.855897373,0.946269189,0.01607267,0.088506343,10.02473477,0.005294544,0.002002226,0.003744273,0.021497892,0.021497892
10314,XM_026444510.1,0.856366464,0.946619552,0.010837548,0.059875486,12.26626752,0.003712868,0.000431402,0.003617517,0.010323819,0.010323819
10315,XM_016915136.2,0.856722745,0.946646251,0.074058651,0.410189226,3.170468195,0.214592897,0.272935294,-0.038528512,0.231830308,0.231830308
10316,XM_625182.6,0.85652273,0.946646251,-0.014186329,0.078463194,11.48603269,0.016845267,0.000698471,0.017770947,0.010946568,0.017770947
10317,XM_026439644.1,0.856684057,0.946646251,-0.078804433,0.43635561,3.008510251,0.304138601,0.325969832,0.006719588,0.245248822,0.245248822
10318,XR_411071.3,0.856574915,0.946646251,-0.078184006,0.432587143,3.183994339,0.473670996,0.330648682,0.188555592,0.230746226,0.230746226
10319,XM_001119847.5,0.856883315,0.946731919,-0.019973523,0.110752983,11.23250277,0.033562138,0.00084663,0.035952039,0.011651117,0.035952039
10320,XM_396842.7,0.857294995,0.947028059,-0.014416068,0.080170069,10.33567314,0.015044197,0.001667204,0.014819066,0.017614516,0.017614516
10321,XM_006568794.3,0.857384039,0.947028059,0.023141798,0.128776477,12.14205667,0.04537346,0.000528352,0.049221791,0.010280459,0.049221791
10322,XM_026441905.1,0.857483611,0.947028059,-0.028463024,0.158499206,8.227601551,0.068735489,0.007264087,0.068101908,0.052172371,0.068101908
